feature	ham_probability	spam_probability
acquisitive	4.525151015602268e-07	1.0419739869705618e-05
acquitting	2.262575507801134e-07	4.167895947882248e-06
acre	2.0363179570210205e-06	2.5900496247553967e-05
acreage	1.3575453046806805e-06	3.274775387621766e-06
acres	5.430181218722722e-06	1.9053238618890274e-05
acrimonious	6.787726523403402e-07	4.167895947882248e-06
acrobat	7.013984074183515e-06	0.0001238460510227868
acronym	1.1312877539005671e-06	2.977068534201605e-06
across	0.0001282880312923243	6.579321460585548e-05
acrylic	2.262575507801134e-07	6.549550775243532e-06
act	8.93717325581448e-05	0.0007314657388533345
acted	1.3122937945246577e-05	4.465602801302408e-06
acting	1.651680120694828e-05	8.633498749184656e-06
actinic	2.262575507801134e-07	5.95413706840321e-06
actinide	2.262575507801134e-07	4.167895947882248e-06
actinolite	2.262575507801134e-07	4.465602801302408e-06
action	0.00023508159526053782	0.0002646613926905227
actions	7.08186133941755e-05	0.00015361673636480282
activate	4.977666117162495e-06	1.101515357654594e-05
activated	5.882696320282949e-06	3.5724822410419264e-06
activation	3.6201208124818143e-06	1.101515357654594e-05
active	6.787726523403402e-05	8.722810805210703e-05
actively	2.2399497527231226e-05	7.442671335504013e-06
activist	3.846378363261928e-06	1.4885342671008026e-06
activities	0.00014616237780395327	3.24500470227975e-05
activity	0.00016652555737416347	5.715971585667082e-05
acton	3.054476935531531e-05	3.870189094462087e-06
actor	2.262575507801134e-07	4.465602801302408e-06
actress	4.525151015602268e-07	5.061016508142729e-06
acts	1.2444165292906237e-05	9.794555477523282e-05
actua	2.262575507801134e-07	5.35872336156289e-05
actual	0.00013258692475714645	0.00019827276437782692
actualize	1.1312877539005671e-06	2.977068534201605e-06
actualized	4.751408566382382e-06	2.9770685342016053e-07
actually	9.638571663232831e-05	5.8945956977191785e-05
actuals	0.00011969024436268	2.9770685342016053e-07
actuarial	2.715090609361361e-06	3.274775387621766e-06
acumen	3.1676057109215877e-06	6.549550775243532e-06
acute	1.5838028554607938e-06	4.7633096547225685e-06
acy	2.262575507801134e-07	8.633498749184656e-05
acyc	2.262575507801134e-07	6.2518439218233715e-06
acyclovir	2.262575507801134e-07	9.526619309445137e-06
ad	2.0363179570210208e-05	0.00012563229214330773
ada	9.050302031204536e-07	6.2518439218233715e-06
adage	2.262575507801134e-07	4.465602801302408e-06
adam	1.85531191639693e-05	2.292342771335236e-05
adamant	1.8100604062409072e-06	2.977068534201605e-06
adams	2.5567103238152816e-05	2.5602789394133807e-05
adapt	2.4888330585812476e-06	5.358723361562889e-06
adaptation	9.050302031204536e-07	3.870189094462087e-06
adapter	4.525151015602268e-07	2.9175271635175732e-05
adaptive	2.715090609361361e-06	4.167895947882248e-06
add	0.00014616237780395327	0.0001554029774853238
added	0.0001939027210185572	7.948772986318286e-05
addenda	2.262575507801134e-07	4.167895947882248e-06
addendum	4.298893464822154e-06	2.977068534201605e-06
addidas	2.262575507801134e-07	6.2518439218233715e-06
adding	5.022917627318518e-05	2.5007375687293486e-05
addison	1.1312877539005671e-06	4.167895947882248e-06
addition	0.00021290835528408673	7.889231615634254e-05
additiona	2.262575507801134e-07	6.430468033875468e-05
additionai	4.525151015602268e-07	7.740378188924174e-06
additional	0.00042083904445101096	0.0002476921020455736
additionally	6.629346237857322e-05	1.8457824912049953e-05
additions	1.9005634265529528e-05	2.3816548273612843e-06
additive	1.3575453046806805e-06	2.977068534201605e-06
address	0.0002850845139829429	0.0009142577468533129
addressed	5.4754327288787446e-05	8.633498749184656e-06
addressee	2.6019618339713043e-05	7.740378188924174e-06
addresses	2.918722405063463e-05	0.0002860962861367743
addressing	1.402796814836703e-05	1.0717446723125779e-05
adds	4.4120222402122114e-05	1.8160118058629793e-05
adelaide	9.050302031204536e-07	5.65643021498305e-06
adele	2.262575507801134e-07	4.465602801302408e-06
adem	4.525151015602268e-07	4.167895947882248e-06
aden	6.787726523403402e-07	4.465602801302408e-06
adenine	2.262575507801134e-07	4.167895947882248e-06
adenoma	2.262575507801134e-07	3.870189094462087e-06
adenosine	2.262575507801134e-07	4.167895947882248e-06
adept	1.5838028554607938e-06	2.3816548273612843e-06
adequacy	4.5251510156022686e-06	3.5724822410419264e-06
adequate	3.0318511804535198e-05	6.549550775243532e-06
adequately	8.824044480424424e-06	3.5724822410419264e-06
ader	6.561468972623289e-06	2.9770685342016053e-07
adhere	4.5251510156022686e-06	5.65643021498305e-06
adhesive	1.3575453046806805e-06	3.274775387621766e-06
adiabatic	2.262575507801134e-07	4.167895947882248e-06
adieu	2.262575507801134e-07	4.7633096547225685e-06
adios	6.787726523403402e-07	1.3099101550487064e-05
adip	2.262575507801134e-07	4.465602801302408e-06
adipex	2.262575507801134e-07	2.1434893446251557e-05
adipren	2.262575507801134e-07	3.0068392195436213e-05
adiprenl	2.262575507801134e-07	4.7633096547225685e-06
adirondack	2.262575507801134e-07	4.7633096547225685e-06
adjacent	4.5251510156022686e-06	6.847257628663692e-06
adjectival	2.262575507801134e-07	4.167895947882248e-06
adjourn	2.0363179570210205e-06	3.870189094462087e-06
adjunct	1.3575453046806805e-06	5.65643021498305e-06
adjust	2.9639739152194856e-05	5.95413706840321e-06
adjustable	1.1312877539005671e-06	9.526619309445137e-06
adjusted	2.6924648542833496e-05	1.1908274136806421e-06
adjusting	4.072635914042041e-06	1.1908274136806421e-06
adjustment	3.4391147718577235e-05	2.083947973941124e-06
adjustments	4.05001015896403e-05	1.4885342671008026e-06
adjutant	2.262575507801134e-07	4.167895947882248e-06
adkins	1.5838028554607938e-06	3.5724822410419264e-06
adlpex	2.262575507801134e-07	2.6495909954394288e-05
adm	2.4888330585812476e-06	1.7862411205209632e-06
admin	2.6019618339713043e-05	9.526619309445137e-06
administer	3.846378363261928e-06	6.549550775243532e-06
administered	3.393863261701701e-06	2.3816548273612843e-06
administration	0.00011788018395643909	4.644226913354504e-05
administrative	5.452806973800733e-05	1.4587635817587866e-05
administrator	2.1946982425671e-05	7.740378188924174e-06
administrators	9.95533223432499e-06	8.931205602604816e-06
admiral	6.787726523403402e-07	7.144964482083853e-06
admiration	1.5838028554607938e-06	8.038085042344335e-06
admire	2.0363179570210205e-06	3.5724822410419264e-06
admission	6.335211421843175e-06	4.7633096547225685e-06
admissions	2.9413481601414743e-06	4.167895947882248e-06
admit	7.240241624963629e-06	6.2518439218233715e-06
admits	3.393863261701701e-06	1.7862411205209632e-06
admitted	1.4480483249927257e-05	8.335791895764495e-06
admitting	3.1676057109215877e-06	2.083947973941124e-06
admixture	2.262575507801134e-07	4.465602801302408e-06
admonition	2.262575507801134e-07	5.65643021498305e-06
ado	2.262575507801134e-07	4.6739975986965204e-05
adobbe	2.262575507801134e-07	1.8160118058629793e-05
adobe	6.561468972623289e-06	0.0009434330184884888
adobechoose	2.262575507801134e-07	1.0419739869705618e-05
adolph	2.262575507801134e-07	4.465602801302408e-06
adolphus	2.262575507801134e-07	3.870189094462087e-06
adonis	7.013984074183515e-06	2.3816548273612843e-06
adopt	9.95533223432499e-06	8.633498749184656e-06
adopted	1.8100604062409074e-05	5.358723361562889e-06
adopting	5.656438769502835e-06	5.954137068403211e-07
adoption	5.203923667942609e-06	5.95413706840321e-06
adoptive	2.262575507801134e-07	5.358723361562889e-06
adore	2.262575507801134e-07	6.2518439218233715e-06
adr	1.131287753900567e-05	8.931205602604816e-07
adres	2.0363179570210205e-06	2.083947973941124e-06
adress	1.3575453046806805e-06	4.7633096547225685e-06
adresse	2.262575507801134e-07	5.95413706840321e-06
adrian	3.846378363261928e-06	6.549550775243532e-06
adroit	2.262575507801134e-07	5.061016508142729e-06
ads	5.430181218722722e-06	4.941933766774665e-05
adsl	2.262575507801134e-07	2.0541772885991076e-05
adulate	2.262575507801134e-07	4.167895947882248e-06
adult	2.4888330585812476e-06	0.00010747217408467795
adulthood	2.262575507801134e-07	4.465602801302408e-06
adults	2.4888330585812476e-06	8.633498749184656e-06
adv	2.262575507801134e-07	2.738903051465477e-05
advance	8.145271828084083e-05	3.24500470227975e-05
advanced	3.416489016779713e-05	0.00011640337968728277
advancement	3.1676057109215877e-06	5.954137068403211e-07
advancements	6.787726523403402e-07	5.358723361562889e-06
advances	3.6201208124818143e-06	1.0717446723125779e-05
advancing	4.751408566382382e-06	2.5305082540713646e-05
advantage	4.796660076538404e-05	0.00015897545972636573
advantageous	1.8100604062409072e-06	2.6793616807814447e-06
advantages	5.203923667942609e-06	2.6495909954394288e-05
advantaqes	2.262575507801134e-07	1.696929064494915e-05
advent	1.8100604062409072e-06	3.5724822410419264e-06
adventitious	2.262575507801134e-07	4.167895947882248e-06
adventure	2.2625755078011343e-06	1.577846323126851e-05
adventures	1.8100604062409072e-06	2.6793616807814447e-06
adverse	2.2173239976451114e-05	1.3099101550487064e-05
adversely	6.108953871063062e-06	2.9770685342016053e-07
adversity	4.525151015602268e-07	5.65643021498305e-06
advert	1.3575453046806805e-06	4.167895947882248e-06
advertise	5.656438769502835e-06	3.9595011504881354e-05
advertised	2.0363179570210205e-06	9.228912456024977e-06
advertisement	4.072635914042041e-06	0.00020392919459280996
advertisements	6.787726523403402e-07	4.465602801302408e-05
advertiser	2.262575507801134e-07	8.633498749184656e-06
advertisers	9.050302031204536e-07	1.3099101550487064e-05
advertises	3.1676057109215877e-06	2.9770685342016053e-07
advertising	1.4254225699147144e-05	0.00018666219709444066
advice	4.54777677068028e-05	0.0006236958579152363
advisable	2.0363179570210205e-06	4.7633096547225685e-06
advise	0.00010724607906977376	3.334316758305798e-05
advised	3.936881383573973e-05	0.00012503687843646742
advisement	2.262575507801134e-07	7.144964482083853e-06
adviser	8.371529378864195e-06	7.740378188924174e-06
advisers	1.0181589785105104e-05	1.7862411205209632e-06
advises	2.715090609361361e-06	0.00012235751675568598
advising	1.2896680394466464e-05	4.167895947882248e-06
advisor	2.058943712099032e-05	0.00017028832015633183
advisors	1.9458149367089754e-05	1.667158379152899e-05
advisory	3.1676057109215875e-05	4.108354577198215e-05
advocacy	3.6201208124818143e-06	2.3816548273612843e-06
advocate	5.430181218722722e-06	5.95413706840321e-06
advocates	8.824044480424424e-06	1.7862411205209632e-06
adware	2.262575507801134e-07	1.637387693810883e-05
adz	2.262575507801134e-07	3.870189094462087e-06
ae	1.8100604062409072e-06	1.101515357654594e-05
aed	9.050302031204536e-07	4.7633096547225685e-06
aeor	2.262575507801134e-07	4.554914857328456e-05
aep	0.00015476016473359757	2.9770685342016053e-07
aepin	1.651680120694828e-05	2.9770685342016053e-07
aerobic	4.525151015602268e-07	3.5724822410419264e-06
aerofoam	2.262575507801134e-07	6.251843921823371e-05
aerofoammetals	2.262575507801134e-07	5.95413706840321e-06
aeronautic	6.787726523403402e-07	4.465602801302408e-06
aerospace	3.846378363261928e-06	7.740378188924174e-06
aes	2.9413481601414745e-05	2.9770685342016053e-07
aesthete	2.262575507801134e-07	4.465602801302408e-06
af	4.525151015602268e-07	9.228912456024977e-06
aff	2.262575507801134e-07	4.465602801302408e-06
affair	4.5251510156022686e-06	1.13128604299661e-05
affairs	5.679064524580847e-05	2.232801400651204e-05
affect	4.841911586694427e-05	2.4709668833873326e-05
affectation	2.262575507801134e-07	4.167895947882248e-06
affected	4.1405131792760754e-05	1.0419739869705618e-05
affecting	1.9684406917869866e-05	5.65643021498305e-06
affectionate	6.787726523403402e-07	3.274775387621766e-06
affects	1.0181589785105104e-05	5.358723361562889e-06
affiance	2.262575507801134e-07	5.061016508142729e-06
affidavit	4.525151015602268e-07	7.144964482083853e-06
affidavits	2.262575507801134e-07	5.061016508142729e-06
affiiiate	2.262575507801134e-07	2.709132366123461e-05
affiiiated	2.262575507801134e-07	4.0190425211721674e-05
affiliate	5.2039236679426086e-05	0.0001071744672312578
affiliated	3.914255628495962e-05	9.615931365471185e-05
affiliates	5.113420647630563e-05	2.9472978488595892e-05
affiliation	2.9413481601414743e-06	2.3816548273612843e-06
affine	2.262575507801134e-07	5.061016508142729e-06
affinity	4.525151015602268e-07	7.144964482083853e-06
affirmation	6.787726523403402e-07	5.358723361562889e-06
affirmative	4.072635914042041e-06	3.5724822410419264e-06
affirmed	6.787726523403402e-06	8.931205602604816e-07
afflictions	2.262575507801134e-07	6.847257628663692e-06
affluence	2.262575507801134e-07	4.167895947882248e-06
affluent	4.525151015602268e-07	4.465602801302408e-06
afford	9.050302031204537e-06	4.465602801302408e-05
affordability	2.262575507801134e-07	2.1434893446251557e-05
affordable	1.5838028554607938e-06	0.00012086898248858518
afforded	2.9413481601414743e-06	6.549550775243532e-06
afforest	2.262575507801134e-07	4.7633096547225685e-06
afforrdable	2.262575507801134e-07	5.65643021498305e-06
afghan	2.715090609361361e-06	2.083947973941124e-06
afghanistan	1.131287753900567e-05	3.274775387621766e-06
afield	9.050302031204536e-07	5.061016508142729e-06
afire	4.525151015602268e-07	3.5724822410419264e-06
afloat	6.108953871063062e-06	8.633498749184656e-06
afoot	4.525151015602268e-07	4.465602801302408e-06
afore	2.262575507801134e-07	7.740378188924174e-06
aforementioned	5.430181218722722e-06	8.038085042344335e-06
aforethought	2.262575507801134e-07	3.870189094462087e-06
afp	1.538551345304771e-05	5.954137068403211e-07
afraid	1.334919549602669e-05	3.9595011504881354e-05
afresh	9.050302031204536e-07	3.5724822410419264e-06
africa	8.597786929644309e-06	0.0002110741590748938
african	2.715090609361361e-06	4.2274373185662794e-05
afro	2.262575507801134e-07	8.931205602604816e-06
after	0.0009260721553430042	0.000682344108039008
afterimage	2.262575507801134e-07	4.7633096547225685e-06
aftermath	8.145271828084082e-06	9.824326162865297e-06
afternoon	0.0001871149944951538	1.9053238618890274e-05
afterthought	6.787726523403402e-07	5.061016508142729e-06
afterward	1.3575453046806805e-06	5.061016508142729e-06
afterwards	4.5251510156022686e-06	4.7633096547225685e-06
afx	5.8148190550489144e-05	2.9770685342016053e-07
afxnews	1.3122937945246577e-05	2.9770685342016053e-07
afxpress	1.3122937945246577e-05	2.9770685342016053e-07
ag	2.669839099205338e-05	5.8350543270351464e-05
aga	1.063410488666533e-05	5.954137068403211e-07
again	0.00036359588410364227	0.0003477216047947475
against	0.0002110982948778458	0.00012176210304884565
agaln	2.262575507801134e-07	7.442671335504013e-06
agate	2.262575507801134e-07	4.465602801302408e-06
agave	6.108953871063062e-06	2.977068534201605e-06
age	1.9005634265529528e-05	0.00014736489244297947
aged	2.2625755078011343e-06	8.633498749184656e-06
agencies	8.190523338240106e-05	5.5075767882729696e-05
agency	0.00010226841295261126	4.2274373185662794e-05
agenda	0.00013733833332352883	1.3694515257327385e-05
agendas	8.371529378864195e-06	8.931205602604816e-07
agent	2.2852012628791453e-05	0.0003182486263061516
agents	8.371529378864195e-06	6.4900094045595e-05
ages	3.393863261701701e-06	1.4289928964167706e-05
agglomerate	2.262575507801134e-07	5.061016508142729e-06
aggregate	1.7421831410068733e-05	4.167895947882248e-06
aggregated	8.597786929644309e-06	2.9770685342016053e-07
aggregating	4.072635914042041e-06	2.9770685342016053e-07
aggregation	1.4254225699147144e-05	1.7862411205209632e-06
aggregators	4.5251510156022686e-06	2.9770685342016053e-07
aggression	6.787726523403402e-07	3.274775387621766e-06
aggressive	3.325985996467667e-05	0.00011253319059282067
aggressively	1.651680120694828e-05	7.740378188924174e-06
aggressor	4.525151015602268e-07	6.2518439218233715e-06
agile	4.525151015602268e-07	7.144964482083853e-06
aging	2.4888330585812476e-06	4.941933766774665e-05
agnes	3.1676057109215877e-06	3.274775387621766e-06
agnew	1.3575453046806805e-06	3.274775387621766e-06
agnihotri	6.108953871063062e-06	2.9770685342016053e-07
agnomen	2.262575507801134e-07	4.7633096547225685e-06
agnostic	6.787726523403402e-07	3.5724822410419264e-06
ago	0.00018802002469827425	0.00012027356878174485
agony	2.262575507801134e-07	5.061016508142729e-06
agora	3.1676057109215877e-06	5.358723361562889e-06
agosto	2.262575507801134e-07	7.442671335504013e-06
agra	9.050302031204536e-07	4.8228510254066e-05
agrarian	2.262575507801134e-07	4.465602801302408e-06
agree	0.00013145563700324588	5.269411305536841e-05
agreeable	3.6201208124818143e-06	2.6793616807814447e-06
agreed	0.0001889250549013947	6.877028314005709e-05
agreeing	1.334919549602669e-05	3.274775387621766e-06
agreement	0.0005059118835443336	0.0002000590054983479
agreements	9.638571663232831e-05	4.8823923960906323e-05
agrees	2.0136922019430093e-05	1.4885342671008026e-06
agricultural	8.145271828084082e-06	1.8457824912049953e-05
agriculture	6.108953871063062e-06	1.3396808403907224e-05
agrra	2.262575507801134e-07	2.768673736807493e-05
agua	7.692756726523855e-06	1.4885342671008026e-06
aguilar	3.6201208124818143e-06	2.6793616807814447e-06
ah	4.072635914042041e-06	8.931205602604816e-06
ahead	0.0001418634843391311	4.465602801302408e-05
ahmad	2.6019618339713043e-05	1.7862411205209632e-06
ahmed	2.2625755078011343e-06	1.577846323126851e-05
ahmedabad	9.050302031204536e-07	3.274775387621766e-06
ahora	2.262575507801134e-07	6.549550775243532e-06
ai	2.262575507801134e-07	1.4289928964167706e-05
aiarms	2.262575507801134e-07	7.740378188924174e-06
aiberta	2.262575507801134e-07	2.0244066032570916e-05
aicohoi	2.262575507801134e-07	5.95413706840321e-06
aicohol	2.262575507801134e-07	8.038085042344335e-06
aid	1.674305875772839e-05	5.418264732246922e-05
aida	6.787726523403402e-07	4.7633096547225685e-06
